TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10312.0,1.0,1.0,8000.0,4500.0,1980.0,1,970000,2020-07-15
1,10312.0,1.0,1.0,6000.0,2441.0,1980.0,1,860000,2021-01-22
1,10312.0,1.0,1.0,6000.0,2436.0,1975.0,1,850000,2020-11-25
1,10312.0,1.0,1.0,20520.0,1200.0,1959.0,1,900000,2020-06-18
1,10312.0,1.0,1.0,15525.0,2400.0,1988.0,1,0,2021-01-19
1,10312.0,1.0,1.0,12264.0,7650.0,1988.0,1,1700000,2020-09-03
1,10312.0,1.0,1.0,15431.0,6788.0,2006.0,1,2325000,2021-01-28
1,10312.0,1.0,1.0,1540.0,1426.0,2011.0,1,0,2021-01-19
1,10312.0,1.0,1.0,5000.0,1384.0,1930.0,1,545000,2021-02-16
1,10312.0,2.0,2.0,5000.0,2392.0,1980.0,1,850000,2020-11-13
1,10312.0,2.0,2.0,5000.0,2887.0,2018.0,1,1120074,2020-06-30
1,10312.0,2.0,2.0,5000.0,2887.0,2018.0,1,1120075,2020-11-17
1,10312.0,2.0,2.0,7600.0,1492.0,1995.0,1,710000,2020-08-27
1,10312.0,2.0,2.0,3555.0,2496.0,1997.0,1,0,2020-04-15
1,10312.0,2.0,2.0,3250.0,1804.0,1986.0,1,0,2020-09-27
1,10312.0,2.0,2.0,3250.0,1804.0,1986.0,1,600000,2020-08-24
1,10312.0,2.0,2.0,3250.0,2008.0,1986.0,1,0,2020-11-09
1,10312.0,2.0,2.0,4000.0,1600.0,2007.0,1,930000,2020-08-28
1,10312.0,2.0,2.0,4000.0,1600.0,2007.0,1,990000,2020-12-01
1,10312.0,2.0,2.0,5070.0,1500.0,2000.0,1,0,2020-04-28
1,10312.0,2.0,2.0,4300.0,2500.0,2000.0,1,0,2020-09-02
1,10312.0,2.0,2.0,8000.0,2330.0,1960.0,1,0,2020-07-30
1,10312.0,2.0,2.0,7500.0,3528.0,1990.0,1,0,2020-06-05
1,10312.0,2.0,2.0,5000.0,3967.0,2019.0,1,997885,2020-11-23
1,10312.0,2.0,2.0,3667.0,2982.0,2017.0,1,900000,2020-08-27
1,10312.0,2.0,2.0,5850.0,2800.0,2004.0,1,1085000,2020-07-24
1,10312.0,2.0,2.0,3903.0,2323.0,2019.0,1,935000,2020-10-20
1,10312.0,2.0,2.0,4000.0,2479.0,2019.0,1,0,2020-05-15
1,10312.0,2.0,2.0,4000.0,2100.0,2000.0,1,930000,2021-01-08
1,10312.0,2.0,2.0,7500.0,2156.0,1978.0,1,797500,2020-11-09
1,10312.0,2.0,2.0,9306.0,2700.0,1992.0,1,0,2021-02-16
1,10312.0,2.0,2.0,7712.0,2667.0,1925.0,1,885000,2020-07-21
1,10312.0,2.0,2.0,5205.0,3122.0,2019.0,1,975000,2020-05-29
1,10312.0,2.0,2.0,4583.0,2454.0,2007.0,1,1189000,2020-10-13
1,10312.0,2.0,2.0,4040.0,1952.0,1970.0,1,550000,2020-05-04
1,10312.0,2.0,2.0,4275.0,2235.0,2014.0,1,0,2020-12-18
1,10312.0,2.0,2.0,6000.0,2440.0,1986.0,1,940000,2021-01-19
1,10312.0,2.0,2.0,4000.0,2926.0,1984.0,1,0,2020-12-08
1,10312.0,2.0,2.0,5960.0,2200.0,1986.0,1,0,2020-06-02
1,10312.0,2.0,2.0,4000.0,1704.0,1975.0,1,840000,2020-09-29
1,10312.0,2.0,2.0,4000.0,2168.0,1975.0,1,337500,2020-04-29
1,10312.0,2.0,2.0,10143.0,2368.0,1983.0,1,0,2020-07-01
1,10312.0,2.0,2.0,4000.0,2032.0,1975.0,1,0,2020-09-17
1,10312.0,2.0,2.0,5960.0,1984.0,1975.0,1,0,2020-08-03
1,10312.0,2.0,2.0,7000.0,1904.0,1970.0,1,0,2020-07-20
1,10312.0,2.0,2.0,6000.0,2880.0,1986.0,1,0,2020-09-27
1,10312.0,2.0,2.0,4800.0,2280.0,1985.0,1,855000,2020-10-29
1,10312.0,2.0,2.0,6000.0,2493.0,1980.0,1,819000,2020-11-19
1,10312.0,2.0,2.0,10000.0,3888.0,1986.0,1,1222500,2020-10-01
1,10312.0,2.0,2.0,11400.0,3420.0,1986.0,1,975000,2021-01-29
1,10312.0,2.0,2.0,11400.0,3420.0,1986.0,1,0,2020-08-20
1,10312.0,2.0,2.0,3911.0,2600.0,1995.0,1,0,2021-02-22
1,10312.0,2.0,2.0,7000.0,4488.0,1986.0,1,0,2020-04-10
1,10312.0,2.0,2.0,6000.0,3248.0,1984.0,1,0,2020-11-06
1,10312.0,2.0,2.0,6726.0,2700.0,1996.0,1,825000,2021-01-07
