TAX CLASS AT PRESENT,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
2,10011,1905.0,600000,2021-01-20
2,10011,1901.0,470000,2021-03-05
2,10011,1915.0,630000,2020-11-17
2,10011,1910.0,480000,2020-06-17
2C,10011,1910.0,523000,2021-03-15
2C,10011,1901.0,815000,2021-01-06
2C,10011,1910.0,1787500,2021-01-27
2C,10011,1910.0,1550000,2021-02-22
2C,10011,1910.0,679000,2020-06-04
2C,10011,1900.0,1240000,2020-06-17
2C,10011,1905.0,220000,2020-05-15
2,10011,1920.0,552500,2020-05-19
2,10011,1920.0,380000,2020-12-04
2,10011,1917.0,532500,2020-04-30
2,10011,1910.0,1425000,2021-03-02
2C,10011,1920.0,660000,2020-04-15
2C,10011,1910.0,0,2021-03-01
2,10011,2003.0,672000,2021-02-02
2,10011,1983.0,739000,2020-10-05
2C,10011,1900.0,1385000,2021-03-02
2C,10011,1900.0,890000,2020-04-16
2,10011,1920.0,810000,2020-12-18
2,10011,1920.0,825000,2020-07-02
2,10011,1920.0,507500,2021-02-17
2C,10011,1900.0,1200000,2020-07-01
2,10011,1920.0,630000,2020-07-17
2,10011,1920.0,535000,2020-11-16
2,10011,1920.0,587221,2020-11-16
2,10011,1900.0,400000,2020-05-07
2,10011,1900.0,1225000,2020-08-31
2,10011,1900.0,0,2020-10-29
2,10011,1902.0,3700000,2020-11-05
2,10011,1900.0,700000,2021-02-05
2,10011,1900.0,656000,2021-02-09
2,10011,1928.0,799000,2020-12-01
2,10011,1928.0,0,2020-12-03
2,10011,1928.0,848500,2020-12-03
2,10011,1928.0,770000,2020-06-17
2,10011,1928.0,850000,2020-10-13
2,10011,1910.0,1640000,2021-02-19
2,10011,1910.0,630000,2021-02-25
2,10011,1910.0,1195000,2020-08-11
2,10011,1910.0,575000,2021-01-11
2,10011,1926.0,1390000,2021-01-11
2,10011,1926.0,1475000,2020-05-19
2,10011,1930.0,1200000,2020-12-10
2,10011,1930.0,845000,2020-10-16
2,10011,1930.0,1070600,2020-06-03
2,10011,1930.0,475000,2021-02-23
2,10011,1930.0,875000,2020-12-22
2,10011,1930.0,890000,2020-04-27
2,10011,1930.0,999000,2020-10-28
2,10011,1930.0,1600000,2020-12-03
2,10011,1930.0,521000,2020-06-10
2,10011,1930.0,499500,2021-02-03
2,10011,1930.0,950000,2020-12-29
2,10011,1930.0,990000,2021-01-19
2,10011,1930.0,1635000,2020-10-30
2,10011,1930.0,510000,2020-08-05
2,10011,1901.0,560000,2021-02-19
2,10011,1902.0,1200000,2020-12-30
2,10011,1889.0,790000,2021-01-13
2,10011,1889.0,690000,2020-06-11
2,10011,1889.0,920000,2020-08-17
2,10011,1963.0,550000,2020-06-09
2,10011,1963.0,515000,2020-07-13
2,10011,1963.0,770000,2020-09-18
2,10011,1963.0,560000,2020-12-30
2,10011,1920.0,435000,2020-10-30
2,10011,1940.0,879000,2021-02-01
2,10011,1940.0,855000,2020-05-01
2,10011,1940.0,1050000,2020-06-17
2,10011,1898.0,1750000,2021-01-28
2,10011,1898.0,1325000,2021-03-11
2,10011,1898.0,1650000,2021-03-29
2,10001,1939.0,869950,2020-10-19
2,10001,1939.0,825000,2020-07-30
2,10001,1939.0,0,2020-09-15
2,10001,1918.0,508000,2021-03-19
2,10001,1918.0,999000,2021-03-18
2,10011,1963.0,635000,2020-08-14
2,10011,1963.0,799000,2021-01-22
2,10011,1963.0,675000,2020-04-10
2,10011,1963.0,935000,2021-02-19
2,10011,1963.0,0,2020-06-29
2,10011,1963.0,537500,2020-12-11
2,10011,1963.0,0,2020-09-30
2,10011,1963.0,1630000,2021-01-21
2,10011,1963.0,1450000,2020-06-16
2,10011,1963.0,1695000,2020-12-31
2,10011,1963.0,960000,2020-05-27
2,10011,1963.0,812500,2020-07-16
2,10011,1963.0,865000,2021-02-12
2,10011,1963.0,855000,2020-07-14
2,10011,1963.0,1077600,2021-02-03
2,10011,1963.0,1745000,2020-10-15
2,10011,1920.0,145002,2021-03-22
2,10011,1920.0,1250000,2020-04-17
2,10011,1938.0,1940000,2020-05-20
2,10011,1938.0,2382500,2020-11-12
2,10011,1940.0,1890000,2020-08-27
2,10011,1940.0,2633336,2021-03-24
2,10011,1923.0,7900000,2020-10-20
2,10011,1927.0,830000,2020-12-09
2,10011,1920.0,1775000,2020-11-05
2,10011,1920.0,2300000,2020-10-05
2,10011,1920.0,1649000,2020-09-24
2,10011,1938.0,635000,2021-02-25
2,10011,1938.0,435000,2020-07-14
2,10011,1938.0,470000,2020-06-05
2,10011,1938.0,999000,2020-10-02
