TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,11692,2.0,2.0,3500.0,2150.0,2001.0,1,640000,2021-01-29
1,11692,2.0,2.0,2674.0,1900.0,1965.0,1,0,2020-11-15
1,11692,2.0,2.0,2725.0,1848.0,1960.0,1,0,2020-06-25
1,11692,2.0,2.0,2750.0,2016.0,1960.0,1,631000,2020-04-17
1,11692,2.0,2.0,2500.0,1870.0,2018.0,1,0,2020-10-27
1,11692,2.0,2.0,2950.0,2250.0,1960.0,1,0,2020-04-25
1,11692,2.0,2.0,4000.0,2576.0,1975.0,1,525000,2021-02-18
1,11692,2.0,2.0,4000.0,1868.0,1930.0,1,470000,2020-06-11
1,11692,2.0,2.0,3000.0,1890.0,2004.0,1,0,2020-09-24
1,11692,2.0,2.0,2550.0,1932.0,1940.0,1,326550,2020-06-03
1,11692,2.0,2.0,3500.0,2160.0,1950.0,1,0,2021-01-29
1,11692,2.0,2.0,3500.0,2160.0,1950.0,1,0,2021-03-13
1,11692,2.0,2.0,4000.0,2800.0,1910.0,1,0,2020-06-24
1,11692,2.0,2.0,3000.0,1512.0,1950.0,1,395000,2020-04-22
1,11692,2.0,2.0,2717.0,1890.0,1950.0,1,510000,2020-12-10
1,11692,2.0,2.0,2717.0,2016.0,1940.0,1,649000,2021-02-25
1,11692,2.0,2.0,2717.0,2016.0,1940.0,1,175000,2020-07-13
1,11692,2.0,2.0,2717.0,2578.0,1940.0,1,645000,2020-12-22
1,11692,2.0,2.0,2625.0,2016.0,1940.0,1,508300,2021-03-18
1,11692,2.0,2.0,2000.0,2176.0,1920.0,1,574123,2020-07-10
1,11692,2.0,2.0,2000.0,2176.0,1920.0,1,260925,2021-01-26
1,11692,2.0,2.0,3800.0,2100.0,2002.0,1,335000,2020-06-29
1,11692,2.0,2.0,5000.0,2336.0,1930.0,1,0,2020-10-22
1,11692,2.0,2.0,2500.0,1874.0,2020.0,1,794235,2021-02-10
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,794235,2021-02-10
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,794235,2021-02-16
1,11692,2.0,2.0,2500.0,1874.0,2019.0,1,849000,2020-12-31
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,4000.0,2600.0,2009.0,1,825000,2020-07-28
1,11692,2.0,2.0,2600.0,1225.0,1925.0,1,305552,2021-01-19
1,11692,2.0,2.0,2000.0,700.0,1930.0,1,480000,2020-12-22
1,11692,2.0,2.0,3000.0,1332.0,1920.0,1,120000,2020-08-27
1,11692,2.0,2.0,3300.0,2905.0,2004.0,1,910000,2021-01-21
1,11692,2.0,2.0,2943.0,2905.0,2004.0,1,0,2021-01-08
1,11692,2.0,2.0,1746.0,2905.0,2004.0,1,0,2021-03-04
1,11692,2.0,2.0,2781.0,2944.0,2007.0,1,990000,2020-10-21
1,11692,2.0,2.0,5218.0,2218.0,2007.0,1,0,2020-12-19
1,11692,2.0,2.0,2384.0,2926.0,2008.0,1,908800,2020-07-27
1,11692,2.0,2.0,2193.0,2905.0,2006.0,1,875000,2020-10-28
1,11692,2.0,2.0,1835.0,2438.0,2003.0,1,590000,2020-10-29
1,11692,2.0,2.0,2303.0,2438.0,2003.0,1,985000,2021-02-10
1,11692,2.0,2.0,3049.0,2438.0,2003.0,1,0,2021-03-10
1,11692,2.0,2.0,2147.0,3498.0,2003.0,1,0,2020-07-31
1,11691,3.0,3.0,3804.0,2352.0,1920.0,1,645000,2021-01-14
1,11691,3.0,3.0,3670.0,3642.0,2006.0,1,0,2021-02-26
1,11691,3.0,3.0,3623.0,3042.0,2006.0,1,0,2021-02-26
1,11692,3.0,3.0,2000.0,3120.0,2005.0,1,0,2021-02-26
1,11692,3.0,3.0,3500.0,2161.0,1905.0,1,0,2021-02-26
1,11692,3.0,3.0,4000.0,1360.0,1935.0,1,700000,2021-01-28
1,11692,3.0,3.0,4000.0,2564.0,1925.0,1,10000,2020-12-31
1,11692,3.0,3.0,4000.0,2454.0,1910.0,1,299000,2020-06-22
1,11692,3.0,3.0,4000.0,2532.0,1920.0,1,0,2021-02-26
1,11692,3.0,3.0,3680.0,3375.0,2005.0,1,0,2020-08-12
1,11691,1.0,1.0,3431.0,0.0,1950.0,1,540000,2020-12-14
2A,11692,6.0,6.0,4000.0,3808.0,1930.0,2,660000,2020-12-31
4,11692,0.0,1.0,20000.0,5000.0,1965.0,4,1500000,2021-02-23
1,11102,1.0,1.0,1900.0,1220.0,1925.0,1,649000,2020-09-09
1,11106,1.0,1.0,1674.0,1224.0,1945.0,1,843000,2021-02-18
1,11106,1.0,1.0,2000.0,1200.0,1945.0,1,1300000,2020-12-16
1,11106,1.0,1.0,2300.0,1850.0,1945.0,1,0,2021-02-03
1,11102,1.0,1.0,3504.0,3370.0,1920.0,1,0,2020-12-31
1,11103,1.0,2.0,2400.0,2600.0,1930.0,1,1550000,2020-11-02
1,11103,1.0,1.0,1260.0,1068.0,1920.0,1,850000,2020-07-30
1,11103,1.0,2.0,2500.0,3680.0,1930.0,1,1650000,2020-11-19
1,11103,1.0,2.0,2500.0,2720.0,1930.0,1,0,2021-01-04
1,11103,1.0,1.0,2003.0,1800.0,1935.0,1,0,2020-09-21
1,11103,1.0,1.0,1815.0,1362.0,1945.0,1,0,2020-07-31
1,11103,1.0,1.0,2500.0,1358.0,1910.0,1,860000,2021-02-10
1,11103,1.0,1.0,1138.0,1375.0,1940.0,1,0,2020-09-17
1,11103,1.0,1.0,1173.0,1375.0,1940.0,1,0,2020-12-31
1,11103,1.0,1.0,1997.0,1375.0,1940.0,1,10,2020-04-20
1,11103,1.0,1.0,1435.0,1395.0,1940.0,1,960000,2020-12-01
1,11103,1.0,1.0,2500.0,1097.0,1910.0,1,775000,2020-12-18
1,11103,1.0,1.0,2232.0,960.0,1925.0,1,925000,2020-09-14
1,11103,1.0,1.0,2500.0,920.0,1920.0,1,925000,2021-02-25
1,11103,1.0,1.0,1800.0,1332.0,1930.0,1,980000,2020-12-21
1,11103,1.0,1.0,1000.0,1088.0,1930.0,1,868000,2020-12-08
1,11103,1.0,1.0,2000.0,1320.0,1930.0,1,0,2021-03-22
1,11103,1.0,1.0,2000.0,1200.0,1930.0,1,600000,2020-11-19
1,11103,1.0,1.0,1900.0,802.0,1951.0,1,0,2020-09-14
1,11103,1.0,1.0,1900.0,802.0,1951.0,1,710000,2021-02-19
1,11103,1.0,1.0,1800.0,1584.0,1940.0,1,0,2020-08-24
1,11103,1.0,1.0,1800.0,1584.0,1940.0,1,987000,2021-01-19
1,11103,1.0,1.0,1577.0,1596.0,1945.0,1,0,2020-09-25
1,11103,1.0,1.0,2442.0,1389.0,1940.0,1,765000,2020-07-29
1,11103,1.0,1.0,1642.0,1068.0,1901.0,1,800000,2021-01-27
1,11103,1.0,1.0,2000.0,2095.0,1955.0,1,1185500,2020-11-25
1,11105,1.0,1.0,3120.0,2223.0,1915.0,1,0,2020-08-28
