TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
2,10001,999000,2021-03-18
2,10011,635000,2020-08-14
2,10011,799000,2021-01-22
2,10011,675000,2020-04-10
2,10011,935000,2021-02-19
2,10011,537500,2020-12-11
2,10011,1630000,2021-01-21
2,10011,1450000,2020-06-16
2,10011,1695000,2020-12-31
2,10011,960000,2020-05-27
2,10011,812500,2020-07-16
2,10011,865000,2021-02-12
2,10011,855000,2020-07-14
2,10011,1077600,2021-02-03
2,10011,1745000,2020-10-15
2,10011,145002,2021-03-22
2,10011,1250000,2020-04-17
2,10011,1940000,2020-05-20
2,10011,2382500,2020-11-12
2,10011,1890000,2020-08-27
2,10011,2633336,2021-03-24
2,10011,7900000,2020-10-20
2,10011,830000,2020-12-09
2,10011,1775000,2020-11-05
2,10011,2300000,2020-10-05
2,10011,1649000,2020-09-24
2,10011,635000,2021-02-25
2,10011,435000,2020-07-14
2,10011,470000,2020-06-05
2,10011,999000,2020-10-02
2,10011,942000,2020-07-01
2,10011,935000,2020-06-29
2,10011,483750,2020-05-01
2,10011,1100000,2020-12-07
2,10011,1560000,2021-03-24
2,10001,1515000,2020-06-26
2,10001,1300000,2020-05-14
2C,10001,1565000,2021-02-25
2,10001,3800000,2020-12-17
2,10001,1150000,2021-01-14
2,10001,1965000,2020-12-09
2,10011,3755506,2020-10-28
2,10001,3100000,2021-03-31
2,10001,4200000,2020-10-30
2,10001,1420000,2020-09-16
2,10001,3500000,2021-03-26
2,10001,3725500,2021-02-22
2,10011,1650000,2020-11-24
2,10011,1375000,2021-03-31
2,10011,2775000,2021-03-18
2,10011,1800000,2021-03-29
2,10011,3037000,2021-03-19
2,10011,4775000,2021-03-29
2,10011,4950000,2020-04-06
2,10011,6350000,2020-11-05
2,10011,5500000,2020-11-23
2,10011,1970000,2021-01-29
2,10011,880000,2021-03-19
2,10011,855000,2020-09-29
2,10011,651000,2020-06-05
2,10011,690000,2020-12-23
2,10011,990000,2020-10-28
2,10011,675000,2021-02-03
2,10011,999000,2020-07-08
2,10011,1600000,2021-01-07
2,10011,5200000,2021-02-18
2,10011,1687500,2020-08-27
2,10011,5450000,2020-12-30
2,10011,4676234,2020-12-14
2,10011,4500000,2021-02-19
2,10011,4500000,2020-12-21
2,10001,610000,2020-10-22
2,10001,1850000,2020-10-02
2,10001,2800000,2020-12-14
2,10001,4173000,2020-05-13
2,10001,3600000,2020-10-19
2,10001,6700000,2020-06-01
2,10001,3928750,2020-07-08
2,10001,6850000,2020-06-12
2,10001,8000000,2020-08-20
2,10001,20207500,2020-09-18
2,10001,2850000,2021-03-12
2,10001,3200000,2021-03-12
2,10001,2975000,2021-03-31
2,10001,4061681,2020-07-21
2,10001,4188137,2020-10-15
2,10001,4189575,2020-07-23
2,10001,4174825,2020-07-14
2,10001,4188075,2020-08-13
2,10011,2425000,2021-01-20
2,10011,1625000,2020-06-19
2,10011,1995000,2020-12-31
2,10011,1600000,2020-11-06
2,10011,800000,2021-03-19
2,10011,3150000,2021-03-17
2,10011,2800000,2020-06-25
2,10011,2299000,2020-11-13
2,10011,2675000,2021-03-19
2,10011,2850000,2020-11-20
2,10011,1925000,2020-04-28
2,10011,1120000,2020-12-04
2,10011,995000,2020-11-25
2,10011,2268750,2020-06-04
2,10011,2200000,2021-02-22
2,10011,745000,2020-07-31
2,10011,710000,2020-05-28
2,10011,3674700,2021-03-03
2,10011,3092873,2021-03-03
2,10011,3680825,2021-02-24
2,10011,7349400,2021-03-03
2,10011,760000,2021-02-19
2,10001,1310000,2021-02-12
2,10001,1631250,2020-05-15
2,10011,650000,2021-01-22
2,10011,1225000,2021-03-02
2,10011,1660000,2020-11-18
2,10011,1660000,2020-12-07
2,10011,610000,2021-02-05
2,10001,515000,2021-03-11
2,10011,2500000,2021-02-03
2,10011,650000,2021-02-09
2,10011,1280000,2020-12-18
2,10011,2650000,2020-10-28
2,10011,2775000,2020-11-25
2,10011,3100000,2020-09-30
2,10011,2999999,2020-09-22
2,10011,2695000,2021-01-27
2,10011,1650000,2020-09-30
2,10011,2600000,2020-12-08
2,10011,21000000,2021-02-17
2,10011,18250000,2020-08-19
2,10011,6000000,2020-06-16
2,10011,999000,2021-03-04
2,10011,930000,2020-04-29
