TAX CLASS AT PRESENT,ZIP CODE,SALE PRICE,SALE DATE
1,11105,1820000,2020-06-09
1,11105,1180000,2021-01-27
1,11105,1150000,2020-07-15
1,11103,1500000,2020-11-30
1,11102,1700000,2020-08-31
1,11105,1399000,2020-07-27
1,11102,1350000,2020-04-02
1,11105,1467000,2021-03-08
1,11105,1150000,2020-12-11
1,11105,5000,2020-05-21
1,11105,2000,2020-05-20
1,11105,5000,2020-06-17
1,11105,2000,2020-05-12
1,11105,6000,2020-08-04
1,11105,3500,2020-07-07
1,11105,50000,2020-07-29
1,11105,1525000,2020-06-09
1,11102,1900000,2020-08-31
1,11105,152100,2020-11-03
1,11105,1375000,2020-11-19
1,11105,1823000,2020-11-17
1,11105,1205000,2020-10-29
1,11105,999990,2020-06-05
1,11102,1147000,2021-03-05
1,11105,1550000,2021-02-12
1,11105,2469000,2020-05-11
1,11105,1050000,2020-06-24
1,11102,1630000,2020-05-21
1,11105,500000,2020-04-30
1,11105,1250000,2020-12-16
1,11105,280000,2021-02-24
1,11105,1450000,2020-05-27
1,11105,1475000,2020-06-26
1,11102,2400000,2021-01-26
1,11102,1050000,2020-10-27
1,11106,1430000,2021-03-16
1,11102,825000,2020-10-30
1,11102,1745000,2021-01-07
1,11106,1600000,2020-12-03
1,11106,661863,2020-10-20
1,11103,1550000,2020-04-03
1,11102,1700000,2020-07-13
1,11103,1690000,2020-11-09
1,11103,1250000,2021-01-27
1,11103,1255000,2021-02-05
1,11103,1375000,2020-12-11
1,11103,1300000,2020-10-02
1,11103,1587500,2020-04-28
1,11105,1700000,2020-10-21
1,11105,1375000,2020-04-15
1,11105,1475000,2020-12-10
1,11105,1440000,2020-08-21
1,11105,1350000,2020-12-04
1,11105,1450000,2020-11-27
1,11105,1150000,2020-11-20
1,11105,1150000,2020-09-16
1,11102,1500000,2020-12-08
1,11105,1320000,2021-01-08
1,11105,600000,2021-01-28
1,11105,1200000,2020-12-21
1,11105,1980000,2020-12-18
1,11105,1500000,2020-04-13
1,11102,1600000,2020-07-13
1,11102,355000,2020-10-02
1A,11106,1250000,2020-11-19
1B,11102,10800000,2020-12-17
1B,11102,249000,2021-02-16
1B,11103,1300000,2021-02-22
1B,11105,7365000,2020-04-13
1B,11102,2400000,2021-01-26
